table	manuscript_line	row	column	printed	artifact_value	verdict	source
1a	123	TRF	Regions	962,837	962837	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	123	TRF	Region Recall (%)	31.88	31.88	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	123	TRF	Region Prec. (%)	94.86	94.86	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	123	TRF	Support rate (%)	99.94	99.94	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	123	TRF	BP Recall (%)	30.26	30.26	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	123	TRF	BP Prec. (%)	52.40	52.40	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	123	TRF	Unique Regions	18,900	18904	CONFIRMED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	123	TRF	Runtime (h)	33.7	33.72944444444444444444444444	REJECTED	results/competitor_logs/trf__GCA_000001405.15_GRCh38_genomic_run.log
1a	123	TRF	Memory (GiB)	1.45	1.448314666748046875	REJECTED	results/competitor_logs/trf__GCA_000001405.15_GRCh38_genomic_run.log
1a	124	mreps	Runtime (h)	0.9	0.9114111111111111111111111111	REJECTED	results/competitor_logs/mreps__GCA_000001405.15_GRCh38_genomic_run.log
1a	124	mreps	Memory (GiB)	6.38	6.381244659423828125	REJECTED	results/competitor_logs/mreps__GCA_000001405.15_GRCh38_genomic_run.log
1a	125	ULTRA	Regions	3,216,710	3216710	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	125	ULTRA	Region Recall (%)	81.62	81.62	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	125	ULTRA	Region Prec. (%)	53.66	53.66	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	125	ULTRA	Support rate (%)	78.44	78.44	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	125	ULTRA	BP Recall (%)	38.14	38.14	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	125	ULTRA	BP Prec. (%)	61.33	61.33	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	125	ULTRA	Unique Regions	518,405	518440	CONFIRMED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	125	ULTRA	Runtime (h)	29.8	29.78027777777777777777777778	REJECTED	results/competitor_logs/ultra__GCA_000001405.15_GRCh38_genomic_run.log
1a	125	ULTRA	Memory (GiB)	1.68	1.677074432373046875	REJECTED	results/competitor_logs/ultra__GCA_000001405.15_GRCh38_genomic_run.log
1a	126	BWTandem	Regions	4,014,108	4014108	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	126	BWTandem	Region Recall (%)	80.53	80.53	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	126	BWTandem	Region Prec. (%)	50.50	50.50	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	126	BWTandem	Support rate (%)	79.45	79.45	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
1a	126	BWTandem	BP Recall (%)	43.34	43.34	REJECTED	results/regen/score_table1_p100.txt: BASELINE/published support; pass3-checks.py human: unique_unfiltered
