sample_id	verdict	note				
S001	UNSURE				SUPPORTED / UNSUPPORTED / UNSURE)	
S002	UNSURE					
S003	UNSURE					
S004	UNSUPPORTED					UNSURE
S005	UNSURE					
S006	UNSUPPORTED					
S007	UNSUPPORTED					
S008	UNSUPPORTED					
S009	UNSUPPORTED					
S010	UNSUPPORTED					
S011	UNSUPPORTED					
S012	UNSURE					
S013	UNSUPPORTED					
S014	UNSUPPORTED					
S015	UNSUPPORTED					
S016	UNSUPPORTED					
S017	UNSUPPORTED					
S018	UNSUPPORTED					
S019	UNSUPPORTED					
S020	UNSURE					
S021	UNSURE					
S022	UNSURE					
S023	UNSURE					
S024	UNSURE					
S025	UNSUPPORTED					
S026	UNSUPPORTED					
S027	UNSUPPORTED					
S028	UNSUPPORTED					
S029	UNSURE					
S030	UNSUPPORTED					
S031	UNSUPPORTED					
S032	UNSUPPORTED					
S033	UNSURE					
S034	UNSUPPORTED					
S035	SUPPORTED					
S036	UNSUPPORTED					
S037	UNSURE					
S038	UNSUPPORTED					
S039	UNSUPPORTED					
S040	UNSURE					
S041	UNSUPPORTED					
S042	UNSURE					
S043	UNSURE					
S044	UNSUPPORTED					
S045	UNSUPPORTED					
S046	UNSUPPORTED					
S047	UNSURE					
S048	UNSURE					
S049	UNSUPPORTED					
S050	UNSUPPORTED					
S051	UNSURE					
S052	UNSUPPORTED					
S053	UNSUPPORTED					
S054	UNSUPPORTED					
S055	UNSUPPORTED					
S056	UNSUPPORTED					
S057	UNSUPPORTED					
S058	UNSUPPORTED					
S059	UNSUPPORTED					
S060	UNSUPPORTED					
S061	UNSUPPORTED					
S062	UNSUPPORTED					
S063	UNSURE					
S064	UNSUPPORTED					
S065	UNSURE					
S066	UNSURE					
S067	UNSURE					
S068	UNSUPPORTED					
S069	UNSUPPORTED					
S070	UNSURE					
S071	UNSUPPORTED					
S072	UNSURE					
S073	UNSUPPORTED					
S074	UNSUPPORTED					
S075	UNSUPPORTED					
S076	UNSUPPORTED					
S077	UNSUPPORTED					
S078	UNSUPPORTED					
S079	UNSURE					
