family,tool,merge_gap_bp,coverage_pct,mean_offset_bp,calls_per_array
knob180,BWTandem,0,79.79,253,286.6
knob180,BWTandem,100,80.06,798,219.8
knob180,BWTandem,500,82.15,2328,122.4
knob180,BWTandem,1000,84.79,3135,80.0
knob180,BWTandem,2000,90.06,6215,37.8
knob180,BWTandem,5000,98.38,130412,4.3
knob180,BWTandem,10000,100.0,13812358,1.0
TR-1,BWTandem,0,50.34,4282,203.4
TR-1,BWTandem,100,50.87,5153,158.0
TR-1,BWTandem,500,55.86,8785,94.5
TR-1,BWTandem,1000,62.53,11010,61.8
TR-1,BWTandem,2000,77.24,19776,27.5
TR-1,BWTandem,5000,98.22,179854,2.1
TR-1,BWTandem,10000,100.0,17034533,1.0
CentC,BWTandem,0,58.55,171,354.6
CentC,BWTandem,100,58.92,185,289.5
CentC,BWTandem,500,63.25,352,180.8
CentC,BWTandem,1000,71.5,1001,98.2
CentC,BWTandem,2000,83.21,3362,35.9
CentC,BWTandem,5000,95.22,46575,7.1
CentC,BWTandem,10000,100.0,4059958,1.0
