# sacct provenance for the recovered subset of jobs named in results/manifest.tsv
# Inventory: 37 allocations, 40 job/task records, 120 rows including batch/extern.
# Native p100 tasks 6141841_0 and 6143150_1..3 and identity-sweep tasks
# 6143151_0..4 are not present. The three headline whole-genome jobs are present.
# captured 2026-09-04T11:35:36-07:00 on cpu-51
# command: sacct -j <ids> --format=JobID,JobName%28,Elapsed,MaxRSS,State,Start -P
#
# Deposited 2026-09-03 for quarantine.md §6.20: the manuscript cites SLURM
# cgroup peaks, the run wrapper records only wait4 ru_maxrss, and no raw
# accounting output survived in the repository until now.
#
# Re-captured 2026-09-04 to include the release-build range-cost jobs
# 6147698/99/700. Note their MaxRSS covers BOTH arms of a pair: the two arms
# run sequentially inside one job, so sacct cannot separate them. The per-arm
# figures in range_cost_0363d8b/ are /usr/bin/time -v values, which are a
# maximum over child processes rather than a concurrent total (quarantine.md §3.3).
#
JobID|JobName|Elapsed|MaxRSS|State|Start
5981977|ultra_colcen_p500|10:07:11||COMPLETED|2026-08-03T12:04:09
5981977.batch|batch|10:07:11|4405640K|COMPLETED|2026-08-03T12:04:09
5981977.extern|extern|10:07:11|1480K|OUT_OF_MEMORY|2026-08-03T12:04:09
5981987|mreps_colcen_150_400|00:06:57||COMPLETED|2026-08-03T12:12:09
5981987.batch|batch|00:06:57|178212K|COMPLETED|2026-08-03T12:12:09
5981987.extern|extern|00:06:57|1480K|OUT_OF_MEMORY|2026-08-03T12:12:09
5982782|wp22_flanks|00:00:24||COMPLETED|2026-08-04T18:30:31
5982782.batch|batch|00:00:24|1.50M|COMPLETED|2026-08-04T18:30:31
5982782.extern|extern|00:00:24|1480K|OUT_OF_MEMORY|2026-08-04T18:30:31
5983739|gapfill_abl|01:42:03||COMPLETED|2026-08-04T23:07:56
5983739.batch|batch|01:42:03|2276544K|COMPLETED|2026-08-04T23:07:56
5983739.extern|extern|01:42:03|1480K|OUT_OF_MEMORY|2026-08-04T23:07:56
5983772|range_cost_t4p2000|07:22:39||COMPLETED|2026-08-04T23:31:48
5983772.batch|batch|07:22:39|37003216K|COMPLETED|2026-08-04T23:31:48
5983772.extern|extern|07:22:39|1480K|OUT_OF_MEMORY|2026-08-04T23:31:48
5985651|wp31_refix|00:03:06||COMPLETED|2026-08-05T20:11:31
5985651.batch|batch|00:03:06|4018172K|COMPLETED|2026-08-05T20:11:31
5985651.extern|extern|00:03:06|1480K|OUT_OF_MEMORY|2026-08-05T20:11:31
5994683|idsweep|1-09:59:55||COMPLETED|2026-08-05T23:54:51
5994683.batch|batch|1-09:59:55|39465544K|COMPLETED|2026-08-05T23:54:51
5994683.extern|extern|1-09:59:55|1480K|OUT_OF_MEMORY|2026-08-05T23:54:51
6076847|trf2000_human|6-13:57:48||CANCELLED by 3092957|2026-08-10T21:52:22
6076847.batch|batch|6-13:57:49|1566224K|CANCELLED|2026-08-10T21:52:22
6076847.extern|extern|6-13:57:48|1480K|OUT_OF_MEMORY|2026-08-10T21:52:22
6076848|bwt_rangerep|06:36:45||COMPLETED|2026-08-11T18:29:19
6076848.batch|batch|06:36:45|38531252K|COMPLETED|2026-08-11T18:29:19
6076848.extern|extern|06:36:45|1480K|OUT_OF_MEMORY|2026-08-11T18:29:19
6076849|bwt_rangerep|08:36:35||COMPLETED|2026-08-11T18:29:19
6076849.batch|batch|08:36:35|43845032K|COMPLETED|2026-08-11T18:29:19
6076849.extern|extern|08:36:35|1288K|OUT_OF_MEMORY|2026-08-11T18:29:19
6076850|bwt_rangerep|06:34:45||COMPLETED|2026-08-11T18:29:19
6076850.batch|batch|06:34:45|38068908K|COMPLETED|2026-08-11T18:29:19
6076850.extern|extern|06:34:45|1480K|OUT_OF_MEMORY|2026-08-11T18:29:19
6076851|bwt_rangerep|08:34:32||COMPLETED|2026-08-11T18:29:19
6076851.batch|batch|08:34:32|43000460K|COMPLETED|2026-08-11T18:29:19
6076851.extern|extern|08:34:32|1480K|OUT_OF_MEMORY|2026-08-11T18:29:19
6076852|bwt_rangerep|05:29:56||COMPLETED|2026-08-11T19:05:21
6076852.batch|batch|05:29:56|39962784K|COMPLETED|2026-08-11T19:05:21
6076852.extern|extern|05:29:56|1480K|OUT_OF_MEMORY|2026-08-11T19:05:21
6076853|bwt_rangerep|07:44:44||COMPLETED|2026-08-11T19:05:21
6076853.batch|batch|07:44:44|38323992K|COMPLETED|2026-08-11T19:05:21
6076853.extern|extern|07:44:44|1480K|OUT_OF_MEMORY|2026-08-11T19:05:21
6085141|tantan_wide|00:12:01||COMPLETED|2026-08-17T15:13:42
6085141.batch|batch|00:12:01|100656K|COMPLETED|2026-08-17T15:13:42
6085141.extern|extern|00:12:01|1480K|OUT_OF_MEMORY|2026-08-17T15:13:42
6085142|tantan_wide|03:17:00||COMPLETED|2026-08-17T15:13:42
6085142.batch|batch|03:17:00|507280K|COMPLETED|2026-08-17T15:13:42
6085142.extern|extern|03:17:00|1480K|OUT_OF_MEMORY|2026-08-17T15:13:42
6085143|tantan_wide|01:22:50||COMPLETED|2026-08-17T15:13:42
6085143.batch|batch|01:22:50|391056K|COMPLETED|2026-08-17T15:13:42
6085143.extern|extern|01:22:50|1480K|OUT_OF_MEMORY|2026-08-17T15:13:42
6085144|tantan_wide|19:13:30||COMPLETED|2026-08-17T15:13:42
6085144.batch|batch|19:13:30|958500K|COMPLETED|2026-08-17T15:13:42
6085144.extern|extern|19:13:30|1480K|OUT_OF_MEMORY|2026-08-17T15:13:42
6085147|bwt_released|16:13:56||COMPLETED|2026-08-17T15:14:11
6085147.batch|batch|16:13:56|26046596K|COMPLETED|2026-08-17T15:14:11
6085147.extern|extern|16:13:56|1480K|OUT_OF_MEMORY|2026-08-17T15:14:11
6085148|bwt_released|05:23:34||COMPLETED|2026-08-17T15:14:14
6085148.batch|batch|05:23:34|32134748K|COMPLETED|2026-08-17T15:14:14
6085148.extern|extern|05:23:34|1480K|OUT_OF_MEMORY|2026-08-17T15:14:14
6085149|bwt_released|06:32:00||COMPLETED|2026-08-17T15:14:14
6085149.batch|batch|06:32:00|40420404K|COMPLETED|2026-08-17T15:14:14
6085149.extern|extern|06:32:00|1480K|OUT_OF_MEMORY|2026-08-17T15:14:14
6085150|bwt_released|06:31:53||COMPLETED|2026-08-17T20:38:00
6085150.batch|batch|06:31:53|43136928K|COMPLETED|2026-08-17T20:38:00
6085150.extern|extern|06:31:53|1480K|OUT_OF_MEMORY|2026-08-17T20:38:00
6085151|bwt_released|06:20:28||COMPLETED|2026-08-17T21:46:40
6085151.batch|batch|06:20:28|38416976K|COMPLETED|2026-08-17T21:46:40
6085151.extern|extern|06:20:28|1480K|OUT_OF_MEMORY|2026-08-17T21:46:40
6086503|bwt_defaults|06:05:34||COMPLETED|2026-08-18T14:36:09
6086503.batch|batch|06:05:34|18641444K|COMPLETED|2026-08-18T14:36:09
6086503.extern|extern|06:05:34|1480K|OUT_OF_MEMORY|2026-08-18T14:36:09
6086510|seedabl|00:43:48||COMPLETED|2026-08-18T20:42:05
6086510.batch|batch|00:43:48|6513500K|COMPLETED|2026-08-18T20:42:05
6086510.extern|extern|00:43:48|1480K|OUT_OF_MEMORY|2026-08-18T20:42:05
6110900|regen_colcen|00:40:11||COMPLETED|2026-08-27T13:06:20
6110900.batch|batch|00:40:11|2268896K|COMPLETED|2026-08-27T13:06:20
6110900.extern|extern|00:40:11|1480K|OUT_OF_MEMORY|2026-08-27T13:06:20
6110901|regen_human|12:38:42||COMPLETED|2026-08-27T16:39:10
6110901.batch|batch|12:38:42|29447952K|COMPLETED|2026-08-27T16:39:10
6110901.extern|extern|12:38:42|1480K|OUT_OF_MEMORY|2026-08-27T16:39:10
6124640|regen_maize|15:51:03||COMPLETED|2026-08-28T07:22:49
6124640.batch|batch|15:51:03|29831980K|COMPLETED|2026-08-28T07:22:49
6124640.extern|extern|15:51:03|1480K|OUT_OF_MEMORY|2026-08-28T07:22:49
6129408_0|regen_p100|00:00:00||FAILED|2026-08-30T03:25:15
6129408_0.batch|batch|00:00:00|1544K|FAILED|2026-08-30T03:25:15
6129408_0.extern|extern|00:00:00|1480K|OUT_OF_MEMORY|2026-08-30T03:25:15
6129408_1|regen_p100|00:00:00||FAILED|2026-08-30T03:25:16
6129408_1.batch|batch|00:00:00|1544K|FAILED|2026-08-30T03:25:16
6129408_1.extern|extern|00:00:00|1480K|OUT_OF_MEMORY|2026-08-30T03:25:16
6129408_2|regen_p100|00:00:01||FAILED|2026-08-30T03:25:17
6129408_2.batch|batch|00:00:01|1544K|FAILED|2026-08-30T03:25:17
6129408_2.extern|extern|00:00:01|1480K|OUT_OF_MEMORY|2026-08-30T03:25:17
6129408_3|regen_p100|00:00:01||FAILED|2026-08-30T03:25:18
6129408_3.batch|batch|00:00:01|1544K|FAILED|2026-08-30T03:25:18
6129408_3.extern|extern|00:00:01|1480K|OUT_OF_MEMORY|2026-08-30T03:25:18
6145581|ultra_h_p2000|1-22:15:07||CANCELLED by 3092957|2026-08-31T17:05:06
6145581.batch|batch|1-22:15:09|17972740K|CANCELLED|2026-08-31T17:05:06
6145581.extern|extern|1-22:15:08|1480K|OUT_OF_MEMORY|2026-08-31T17:05:06
6146419|longdust_all|06:52:32||COMPLETED|2026-09-01T22:06:45
