table	row	source_bed	lines	bytes	mtime	sha256_1MB	producer_job	threads	period_range	elapsed	peak_rss_gb_sacct	node	scorer	scorer_sha	scoring_rule	repo_commit
1a	BWTandem	results/beds/bwtandem_human.bed.gz	4014108	59840593	2026-08-29T11:58:48	d06498c32d4258cf	6110901	2	1-2000	12:38:42	28.08	cpu-49	score_table1_regen.py	b85820bebdd1f139	regenerated full range, chr1-22XY; revised segmentation and N-safe periodicity	0363d8b
1a	TRF	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_000001405.15_GRCh38_genomic_output.bed	1011405	328045521	2026-07-22T03:16:04	6e3c482e8d77a8bc	published	-	max 500 (no min-period parameter)				score_table1.py	14177a7320373f82	full range, chr1-22XY	0e17d1a
1a	ULTRA	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_human_GCA.bed	3347216	133206186	2026-08-03T10:46:38	478bd146899db79c	published	2	1-100 (default)				score_table1.py	14177a7320373f82	full range, chr1-22XY	0e17d1a
1a	tantan	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/tantan/GCA_000001405.15_GRCh38_genomic_output.bed	3469229	137897003	2026-07-22T03:16:42	4097f36e06c52699	published	-	n/a				score_table1.py	14177a7320373f82	full range, chr1-22XY	0e17d1a
1a	TRASH	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_000001405.15_GRCh38_genomic_trash.bed	5332	630487	2026-07-22T03:16:42	0e4db3d24e5df301	published	-	n/a				score_table1.py	14177a7320373f82	full range, chr1-22XY	0e17d1a
1a	mreps	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/mreps/GCA_000001405.15_GRCh38_genomic.bed	18521653	679004376	2026-07-22T03:17:13	97640753039c08a3	published	-	unbounded				-	-	ACCURACY NOT REPORTED (cost is reported from the partial-run GNU-time log) - run covered 7/24 chromosomes, chromosome column all chr4	0e17d1a
1b-superseded	BWTandem	(PENDING job 6129408)	-	-	-	-	6129408	4	1-100 native	-	-	-	score_table1_regen.py	b85820bebdd1f139	SUPERSEDED — job 6129408 failed at startup (batch state FAILED; the extern OUT_OF_MEMORY state alone does not establish the cause; see sacct_provenance.txt) and was resubmitted. The completed replacement rows appear later in this file. withheld pending native commit-0363d8b regeneration; no post-hoc substitution	0363d8b
1b	TRF	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_000001405.15_GRCh38_genomic_output.bed	1011405	328045521	2026-07-22T03:16:04	6e3c482e8d77a8bc	published	-	max 500 (no min-period parameter)				score_table1.py	14177a7320373f82	p<=100 post-hoc filter	0e17d1a
1b	ULTRA	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_human_GCA.bed	3347216	133206186	2026-08-03T10:46:38	478bd146899db79c	published	2	1-100				score_table1.py	14177a7320373f82	p<=100 (no filter needed)	0e17d1a
1b	tantan	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/tantan/GCA_000001405.15_GRCh38_genomic_output.bed	3469229	137897003	2026-07-22T03:16:42	4097f36e06c52699	published	-	n/a				score_table1.py	14177a7320373f82	p<=100 post-hoc filter	0e17d1a
1b	TRASH	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_000001405.15_GRCh38_genomic_trash.bed	5332	630487	2026-07-22T03:16:42	0e4db3d24e5df301	published	-	n/a				score_table1.py	14177a7320373f82	p<=100 post-hoc filter	0e17d1a
1c	BWTandem	results/beds/bwtandem_human.bed.gz	4014108	59840593	2026-08-29T11:58:48	d06498c32d4258cf	6110901	2	1-2000	12:38:42	28.08	cpu-49	score_table1_regen.py	b85820bebdd1f139	regenerated 101<=p<=2000 post-hoc stratum	0363d8b
1c	TRF	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_000001405.15_GRCh38_genomic_output.bed	1011405	328045521	2026-07-22T03:16:04	6e3c482e8d77a8bc	published	-	max 500 (no min-period parameter)				score_table1.py	14177a7320373f82	101<=p<=2000	0e17d1a
1c	TRASH	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_000001405.15_GRCh38_genomic_trash.bed	5332	630487	2026-07-22T03:16:42	0e4db3d24e5df301	published	-	n/a				score_table1.py	14177a7320373f82	101<=p<=2000	0e17d1a
1d-superseded	BWTandem-P	(PENDING job 6129408)	-	-	-	-	6129408	4	1-100 native	-	-	-	score_table1_regen.py	b85820bebdd1f139	SUPERSEDED — job 6129408 failed at startup (batch state FAILED; the extern OUT_OF_MEMORY state alone does not establish the cause; see sacct_provenance.txt) and was resubmitted. The completed replacement rows appear later in this file. withheld pending native commit-0363d8b operating-point regeneration	0363d8b
1d-superseded	BWTandem-B	(PENDING job 6129408)	-	-	-	-	6129408	4	1-100 native	-	-	-	score_table1_regen.py	b85820bebdd1f139	SUPERSEDED — job 6129408 failed at startup (batch state FAILED; the extern OUT_OF_MEMORY state alone does not establish the cause; see sacct_provenance.txt) and was resubmitted. The completed replacement rows appear later in this file. withheld pending native commit-0363d8b operating-point regeneration	0363d8b
1d-superseded	BWTandem-F	(PENDING job 6129408)	-	-	-	-	6129408	4	1-100 native	-	-	-	score_table1_regen.py	b85820bebdd1f139	SUPERSEDED — job 6129408 failed at startup (batch state FAILED; the extern OUT_OF_MEMORY state alone does not establish the cause; see sacct_provenance.txt) and was resubmitted. The completed replacement rows appear later in this file. withheld pending native commit-0363d8b operating-point regeneration	0363d8b
